CTY_CODE,CTY_NAME,I_ENDUSE,I_ENDUSE_LDESC,GEN_VAL_MO,CON_VAL_MO,AIR_WGT_MO,CNT_WGT_MO,VES_WGT_MO,I_ENDUSE,time
2230,COSTA RICA,00010,COCOA BEANS,9158,9158,0,2148,2148,00010,2020-06
2410,JAMAICA,00010,COCOA BEANS,5513,5513,1025,0,0,00010,2020-06
2450,HAITI,00010,COCOA BEANS,701946,701946,0,274730,274730,00010,2020-06
2470,DOMINICAN REPUBLIC,00010,COCOA BEANS,11140486,11140486,0,3978246,3978246,00010,2020-06
7830,TANZANIA,00010,COCOA BEANS,270195,270195,0,79005,79005,00010,2020-06
7880,MADAGASCAR,00010,COCOA BEANS,133800,133800,0,38726,38726,00010,2020-06
2XXX,CENTRAL AMERICA,00010,COCOA BEANS,11857103,11857103,1025,4255124,4255124,00010,2020-06
3XXX,SOUTH AMERICA,00010,COCOA BEANS,20212302,20212302,1404,7725175,7725175,00010,2020-06
5330,INDIA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-07
5600,INDONESIA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-07
5650,PHILIPPINES,00010,COCOA BEANS,0,0,0,0,0,00010,2020-07
6040,PAPUA NEW GUINEA,00010,COCOA BEANS,4096275,4096275,0,1600200,1600200,00010,2020-07
2489,GRENADA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-07
2740,TRINIDAD AND TOBAGO,00010,COCOA BEANS,140000,140000,0,25000,25000,00010,2020-07
3010,COLOMBIA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-07
3070,VENEZUELA,00010,COCOA BEANS,143490,143490,0,101542,101542,00010,2020-07
3310,ECUADOR,00010,COCOA BEANS,9319501,9319501,0,3727171,3727171,00010,2020-07
3330,PERU,00010,COCOA BEANS,2415777,2415777,0,883975,884365,00010,2020-07
3350,BOLIVIA,00010,COCOA BEANS,4787,4787,0,2150,2150,00010,2020-07
3510,BRAZIL,00010,COCOA BEANS,0,0,0,0,0,00010,2020-07
4210,NETHERLANDS,00010,COCOA BEANS,339578,339578,0,59575,59575,00010,2020-07
4279,FRANCE,00010,COCOA BEANS,0,0,0,0,0,00010,2020-07
6863,FIJI,00010,COCOA BEANS,0,0,0,0,0,00010,2020-07
7420,CAMEROON,00010,COCOA BEANS,0,0,0,0,0,00010,2020-07
7480,COTE D'IVOIRE,00010,COCOA BEANS,21961235,21961235,0,10760928,10760928,00010,2020-07
7490,GHANA,00010,COCOA BEANS,3937660,3937660,0,1529521,1529521,00010,2020-07
7530,NIGERIA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-07
7630,CONGO,00010,COCOA BEANS,0,0,0,0,0,00010,2020-07
7660,DEMOCRATIC REPUBLIC OF THE CONGO,00010,COCOA BEANS,711363,711363,0,203293,203293,00010,2020-07
7780,UGANDA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-07
4419,SWITZERLAND,00010,COCOA BEANS,15356,15356,0,1213,1213,00010,2020-07
-,TOTAL FOR ALL COUNTRIES,00010,COCOA BEANS,52311616,52311616,320,22267565,22267955,00010,2020-07
0003,EUROPEAN UNION,00010,COCOA BEANS,339578,339578,0,59575,59575,00010,2020-07
